no,addr1,areacode,addr2,sigungucode
1,서울특별시,1,강남구,1
2,서울특별시,1,강동구,2
3,서울특별시,1,강북구,3
4,서울특별시,1,강서구,4
5,서울특별시,1,관악구,5
6,서울특별시,1,광진구,6
7,서울특별시,1,구로구,7
8,서울특별시,1,금천구,8
9,서울특별시,1,노원구,9
10,서울특별시,1,도봉구,10
11,서울특별시,1,동대문구,11
12,서울특별시,1,동작구,12
13,서울특별시,1,마포구,13
14,서울특별시,1,서대문구,14
15,서울특별시,1,서초구,15
16,서울특별시,1,성동구,16
17,서울특별시,1,성북구,17
18,서울특별시,1,송파구,18
19,서울특별시,1,양천구,19
20,서울특별시,1,영등포구,20
21,서울특별시,1,용산구,21
22,서울특별시,1,은평구,22
23,서울특별시,1,종로구,23
24,서울특별시,1,중구,24
25,서울특별시,1,중랑구,25
26,인천광역시,2,강화군,1
27,인천광역시,2,계양구,2
28,인천광역시,2,미추홀구,3
29,인천광역시,2,남동구,4
30,인천광역시,2,동구,5
31,인천광역시,2,부평구,6
32,인천광역시,2,서구,7
33,인천광역시,2,연수구,8
34,인천광역시,2,옹진군,9
35,인천광역시,2,중구,10
36,대전광역시,3,대덕구,1
37,대전광역시,3,동구,2
38,대전광역시,3,서구,3
39,대전광역시,3,유성구,4
40,대전광역시,3,중구,5
41,대구광역시,4,남구,1
42,대구광역시,4,달서구,2
43,대구광역시,4,달성군,3
44,대구광역시,4,동구,4
45,대구광역시,4,북구,5
46,대구광역시,4,서구,6
47,대구광역시,4,수성구,7
48,대구광역시,4,중구,8
49,대구광역시,4,군위군,9
50,광주광역시,5,광산구,1
51,광주광역시,5,남구,2
52,광주광역시,5,동구,3
53,광주광역시,5,북구,4
54,광주광역시,5,서구,5
55,부산광역시,6,강서구,1
56,부산광역시,6,금정구,2
57,부산광역시,6,기장군,3
58,부산광역시,6,남구,4
59,부산광역시,6,동구,5
60,부산광역시,6,동래구,6
61,부산광역시,6,부산진구,7
62,부산광역시,6,북구,8
63,부산광역시,6,사상구,9
64,부산광역시,6,사하구,10
65,부산광역시,6,서구,11
66,부산광역시,6,수영구,12
67,부산광역시,6,연제구,13
68,부산광역시,6,영도구,14
69,부산광역시,6,중구,15
70,부산광역시,6,해운대구,16
71,울산광역시,7,중구,1
72,울산광역시,7,남구,2
73,울산광역시,7,동구,3
74,울산광역시,7,북구,4
75,울산광역시,7,울주군,5
76,세종특별자치시,8,연서면,1
77,경기도,31,가평군,1
78,경기도,31,고양시,2
79,경기도,31,과천시,3
80,경기도,31,광명시,4
81,경기도,31,광주시,5
82,경기도,31,구리시,6
83,경기도,31,군포시,7
84,경기도,31,김포시,8
85,경기도,31,남양주시,9
86,경기도,31,동두천시,10
87,경기도,31,부천시,11
88,경기도,31,성남시,12
89,경기도,31,수원시,13
90,경기도,31,시흥시,14
91,경기도,31,안산시,15
92,경기도,31,안성시,16
93,경기도,31,안양시,17
94,경기도,31,양주시,18
95,경기도,31,양평군,19
96,경기도,31,여주시,20
97,경기도,31,연천군,21
98,경기도,31,오산시,22
99,경기도,31,용인시,23
100,경기도,31,의왕시,24
101,경기도,31,의정부시,25
102,경기도,31,이천시,26
103,경기도,31,파주시,27
104,경기도,31,평택시,28
105,경기도,31,포천시,29
106,경기도,31,하남시,30
107,경기도,31,화성시,31
108,강원특별자치도,32,강릉시,1
109,강원특별자치도,32,고성군,2
110,강원특별자치도,32,동해시,3
111,강원특별자치도,32,삼척시,4
112,강원특별자치도,32,속초시,5
113,강원특별자치도,32,양구군,6
114,강원특별자치도,32,양양군,7
115,강원특별자치도,32,영월군,8
116,강원특별자치도,32,원주시,9
117,강원특별자치도,32,인제군,10
118,강원특별자치도,32,정선군,11
119,강원특별자치도,32,철원군,12
120,강원특별자치도,32,춘천시,13
121,강원특별자치도,32,태백시,14
122,강원특별자치도,32,평창군,15
123,강원특별자치도,32,홍천군,16
124,강원특별자치도,32,화천군,17
125,강원특별자치도,32,횡성군,18
126,충청북도,33,괴산군,1
127,충청북도,33,단양군,2
128,충청북도,33,보은군,3
129,충청북도,33,영동군,4
130,충청북도,33,옥천군,5
131,충청북도,33,음성군,6
132,충청북도,33,제천시,7
