baseYm,mapX,mapY,areaCd,areaNm,signguCd,signguNm,hubTatsNm,hubBsicAdres,hubCtgryLclsNm,hubCtgryMclsNm,hubRank
202408,126.9768999,37.57807256,11,서울특별시,11110,종로구,경복궁,서울 종로구 사직로 161-0,관광지,역사관광,1
202408,126.9806493,37.60159764,11,서울특별시,11110,종로구,팔각정북악스카이,서울 종로구 북악산로 267-0,관광지,문화관광,2
202408,126.9992868,37.57004585,11,서울특별시,11110,종로구,광장시장,서울 종로구 창경궁로 88-0,관광지,쇼핑,3
202408,126.9802801,37.57864994,11,서울특별시,11110,종로구,국립현대미술관/서울관,서울 종로구 삼청로 30-0,관광지,문화관광,4
202408,126.9757331,37.6006255,11,서울특별시,11110,종로구,북악스카이웨이,서울 종로구,관광지,기타관광,5
202408,126.9754279,37.57074007,11,서울특별시,11110,종로구,포시즌스호텔/서울,서울 종로구 새문안로 97-0,숙박,숙박,6
202408,126.9851769,37.58151666,11,서울특별시,11110,종로구,북촌한옥마을,서울 종로구,관광지,역사관광,7
202408,126.9764276,37.58559947,11,서울특별시,11110,종로구,청와대,서울 종로구 청와대로 1-0,관광지,기타관광,8
202408,127.007804,37.57043311,11,서울특별시,11110,종로구,동대문종합시장,서울 종로구 종로 266-0,관광지,쇼핑,9
202408,126.9704839,37.57040674,11,서울특별시,11110,종로구,서울역사박물관,서울 종로구 새문안로 55-0,관광지,문화관광,10
202408,126.9817607,37.5647408,11,서울특별시,11140,중구,롯데백화점/본점,서울 중구 남대문로 81-0,관광지,쇼핑,1
202408,126.9811449,37.56094116,11,서울특별시,11140,중구,신세계백화점/본점,서울 중구 소공로 63-0,관광지,쇼핑,2
202408,126.980983,37.56535184,11,서울특별시,11140,중구,롯데호텔/서울점,서울 중구 을지로 30-0,숙박,숙박,3
202408,127.0051782,37.55585879,11,서울특별시,11140,중구,신라호텔/서울,서울 중구 동호로 249-0,숙박,숙박,4
202408,126.9808582,37.56034134,11,서울특별시,11140,중구,신세계백화점/본점신관,서울 중구 퇴계로 77-0,관광지,쇼핑,5
202408,126.9839828,37.55663064,11,서울특별시,11140,중구,남산케이블카,서울 중구 소파로 83-0,관광지,기타관광,6
202408,127.0076797,37.56881339,11,서울특별시,11140,중구,현대시티아울렛/동대문점,서울 중구 장충단로13길 20-0,관광지,쇼핑,7
202408,127.0087026,37.56890715,11,서울특별시,11140,중구,두산타워,서울 중구 장충단로 275-0,관광지,쇼핑,8
202408,126.9800386,37.56443527,11,서울특별시,11140,중구,웨스틴조선호텔,서울 중구 소공로 106-0,숙박,숙박,9
202408,127.0084249,37.56815724,11,서울특별시,11140,중구,밀리오레/동대문점,서울 중구 장충단로 263-0,관광지,쇼핑,10
202408,126.9644657,37.52896532,11,서울특별시,11170,용산구,HDC아이파크몰/용산점,서울 용산구 한강대로23길 55-0,관광지,쇼핑,1
202408,126.9803168,37.5239955,11,서울특별시,11170,용산구,국립중앙박물관,서울 용산구 서빙고로 137-0,관광지,문화관광,2
202408,126.9882324,37.55127018,11,서울특별시,11170,용산구,남산서울타워,서울 용산구 남산공원길 105-0,관광지,문화관광,3
202408,126.9971484,37.53938272,11,서울특별시,11170,용산구,그랜드하얏트/서울,서울 용산구 소월로 322-0,숙박,숙박,4
202408,126.9770947,37.53699398,11,서울특별시,11170,용산구,전쟁기념관,서울 용산구 이태원로 29-0,관광지,문화관광,5
202408,126.9651792,37.53016136,11,서울특별시,11170,용산구,CGV/용산아이파크몰,서울 용산구 한강대로23길 55-0,관광지,문화관광,6
202408,126.9619295,37.53196669,11,서울특별시,11170,용산구,서울드래곤시티,서울 용산구 청파로20길 95-0,숙박,숙박,7
202408,126.9931188,37.52856827,11,서울특별시,11170,용산구,몬드리안/서울이태원,서울 용산구 장문로 23-0,숙박,숙박,8
202408,126.957243,37.51805389,11,서울특별시,11170,용산구,노들섬,서울 용산구 양녕로 445-0,관광지,자연관광,9
202408,126.9626516,37.53188337,11,서울특별시,11170,용산구,노보텔앰배서더호텔/서울용산,서울 용산구 청파로20길 95-0,숙박,숙박,10
202408,127.0392834,37.54485457,11,서울특별시,11200,성동구,서울숲,서울 성동구 뚝섬로 273-0,관광지,문화관광,1
202408,127.0386444,37.569935,11,서울특별시,11200,성동구,마장축산물시장,서울 성동구 마장로31길 40-0,관광지,쇼핑,2
