contentid,contenttypeid
126273,12
2019720,12
2994116,12
129194,12
2777865,12
2715601,12
129156,12
2726843,12
2789460,12
3015365,12
125462,12
127257,12
2743285,12
125658,12
1553085,12
125463,12
125593,12
126905,12
127508,12
3068424,12
2820640,12
127423,12
126289,12
1625067,12
2745573,12
128498,12
127268,12
578400,12
129141,12
2615324,12
1916695,12
294369,12
2629074,12
1957336,12
2784347,12
2633896,12
1578561,12
294390,12
1579499,12
3023389,12
2513971,12
2788410,12
2732489,12
2714140,12
3030551,12
129212,12
125822,12
126023,12
126022,12
2733515,12
128481,12
250121,12
3013529,12
1236556,12
3337798,12
128132,12
2785625,12
2788127,12
2024432,12
3006493,12
2514003,12
2714889,12
2569494,12
125848,12
2357441,12
2793231,12
128427,12
3034222,12
127956,12
2754985,12
2754996,12
2699943,12
126027,12
2514820,12
126785,12
2034446,12
2785941,12
3006131,12
128418,12
630461,12
129285,12
1200950,12
129407,12
1104176,12
1200751,12
3077222,12
1201082,12
1283850,12
921096,12
2783808,12
2864214,12
736597,12
799819,12
1959464,12
2733967,12
2863978,12
538472,12
129537,12
127241,12
125885,12
580102,12
1956297,12
2763807,12
126792,12
129181,12
129045,12
128213,12
128205,12
125880,12
2723688,12
2750389,12
3041720,12
1608562,12
128022,12
2610509,12
2871546,12
126644,12
129681,12
1577238,12
2511669,12
127781,12
2715990,12
129024,12
2629105,12
753397,12
3074319,12
3447845,12
3007381,12
3421778,12
3018842,12
2613159,12
580288,12
2750364,12
2749170,12
2755829,12
1116925,12
127311,12
129010,12
1577060,12
1959468,12
127535,12
2751315,12
3061205,12
1114686,12
294439,12
2798406,12
2788422,12
3351911,12
548138,12
1118418,12
2820184,12
2569515,12
3056401,12
2569511,12
1576464,12
125600,12
125450,12
2755857,12
294441,12
2524116,12
2767573,12
2785289,12
3070550,12
2785306,12
294452,12
2735620,12
2714641,12
2732583,12
128677,12
3090394,12
1254680,12
2768133,12
125891,12
125833,12
1625103,12
126034,12
1623750,12
126828,12
946216,12
1182200,12
946451,12
2650372,12
1627011,12
946844,12
946712,12
753302,12
2987217,12
988459,12
2712922,12
264570,12
2456536,12
2776846,12
801339,12
125831,12
129132,12
1957338,12
2044527,12
1624227,12
772462,12
2756802,12
128199,12
2822414,12
127377,12
2799025,12
2900682,12
125790,12
128758,12
125769,12
3022373,12
2465063,12
126897,12
128293,12
2605187,12
2628994,12
1086405,12
3069504,12
128359,12
125800,12
2414769,12
128759,12
2706354,12
2702581,12
125789,12
2588752,12
125788,12
126898,12
3379937,12
128360,12
129337,12
129584,12
3050590,12
3406885,12
2804474,12
2930702,12
2414791,12
2731193,12
125787,12
2721544,12
585522,12
2753909,12
128961,12
2702651,12
2462890,12
2765231,12
809490,12
3043735,12
3015292,12
2733968,12
2743393,12
1957340,12
125481,12
2774103,12
2705409,12
2788447,12
1622799,12
1201163,12
128778,12
1857095,12
2610850,12
895963,12
127433,12
125735,12
2704116,12
2745423,12
128670,12
1625126,12
801871,12
126416,12
1624429,12
1349796,12
2515265,12
128952,12
129693,12
1350167,12
2515789,12
226926,12
129697,12
127110,12
129692,12
126645,12
127111,12
1624164,12
2357460,12
126347,12
527227,12
1625118,12
126249,12
127651,12
3018216,12
2706334,12
2710738,12
125605,12
2764587,12
2773394,12
2765225,12
1955953,12
1619788,12
125565,12
800798,12
127185,12
127291,12
128817,12
250326,12
128813,12
250304,12
971122,12
128385,12
2684765,12
128823,12
128824,12
125534,12
127802,12
128030,12
125566,12
3061177,12
129291,12
1705415,12
125502,12
3061178,12
2755455,12
2599177,12
631066,12
125564,12
2765210,12
1614793,12
1615571,12
125567,12
3340348,12
662637,12
125563,12
128080,12
2638437,12
2757536,12
3032396,12
2734903,12
2753929,12
3026607,12
3112041,12
1607032,12
1954998,12
126157,12
2732510,12
129391,12
2761294,12
2591792,12
126812,12
128474,12
3080121,12
1432440,12
1431823,12
125908,12
126346,12
2774540,12
126501,12
3385851,12
294476,12
127147,12
3090750,12
127082,12
125899,12
893974,12
947611,12
2786133,12
3385911,12
129439,12
2774063,12
3403616,12
2714611,12
2363553,12
2611154,12
2703718,12
128920,12
2032450,12
3350811,12
2769571,12
3440844,12
294489,12
2783788,12
2714725,12
2733966,12
126756,12
3008543,12
126283,12
129151,12
988129,12
2723663,12
2714723,12
2784238,12
2768188,12
1704748,12
2752372,12
2758868,12
2508988,12
2784264,12
2781820,12
128256,12
127530,12
128607,12
2768207,12
1619630,12
128396,12
1350278,12
2638488,12
538485,12
127726,12
793359,12
1350326,12
538480,12
2787084,12
793418,12
2704694,12
2750703,12
3007738,12
3344859,12
127256,12
249970,12
126972,12
127938,12
126224,12
127966,12
2717293,12
1846020,12
2717294,12
2414648,12
2755024,12
2648073,12
127725,12
126582,12
2755033,12
2815810,12
127266,12
128033,12
2758318,12
129592,12
126784,12
125714,12
2735355,12
3112059,12
128749,12
2612816,12
128654,12
1578659,12
1579613,12
1579507,12
1578694,12
1578811,12
1578542,12
1578267,12
128653,12
1579747,12
128657,12
1578365,12
2796956,12
710635,12
1936343,12
127696,12
1578958,12
1578445,12
2756141,12
1977633,12
128655,12
128947,12
3413023,12
2819594,12
1578089,12
2865675,12
2755874,12
1955226,12
1622226,12
3434750,12
3425419,12
