addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,dist,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
전라남도 진도군 고군면 신비의바닷길 47,(고군면),38,0,A01,A0101,A01011200,126273,12,2.00E+13,269987.605,http://tong.visitkorea.or.kr/cms/resource/36/3079736_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/3079736_image3_1.jpg,Type3,126.3547412,34.43545949,6,2.02E+13,21,,가계해수욕장
경상남도 창원시 마산합포구 성호서7길 15-8,,36,0,A02,A0203,A02030100,2019720,12,2.02E+13,166684.9625,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image3_1.jpg,Type3,128.5696553,35.2077664,6,2.02E+13,16,,가고파 꼬부랑길 벽화마을
강원특별자치도 삼척시 가곡면 탕곡리,509-3,32,,A02,A0202,A02020300,2994116,12,2.02E+13,140589.079,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2994054_image3_1.jpg,Type3,129.2062296,37.15074949,6,2.02E+13,4,033-572-1800,가곡유황온천&스파
경기도 양주시 장흥면 권율로 117,,31,0,A02,A0202,A02020600,129194,12,2.01E+13,148162.6807,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image3_1.jpg,Type3,126.9497497,37.72545191,6,2.02E+13,18,,가나아트파크
경기도 여주시 가남읍 대명산길 98,,31,0,A02,A0202,A02020700,2777865,12,2.02E+13,73257.66158,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,Type3,127.5349142,37.20170935,6,2.02E+13,20,,가남체육공원
부산광역시 강서구 천성동 308-2,,6,0,A01,A0101,A01011300,2715601,12,2.02E+13,194779.0637,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2716261_image3_1.jpg,Type3,128.8169442,35.02296383,6,2.02E+13,1,,가덕도
부산광역시 강서구 외양포로 10,,6,0,A01,A0101,A01011600,129156,12,2.01E+13,197494.9986,http://tong.visitkorea.or.kr/cms/resource/81/3342781_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/3342781_image3_1.jpg,Type3,128.8295937,35.00064712,6,2.02E+13,1,,가덕도 등대
부산광역시 강서구 천성동,,6,0,A01,A0101,A01010400,2726843,12,2.02E+13,194113.1249,,,,128.8216714,35.03175182,6,2.02E+13,1,,가덕도 연대봉
부산광역시 강서구 대항동 393-9,(대항동),6,0,A01,A0101,A01011900,2789460,12,2.02E+13,196163.3146,,,,128.8274686,35.01330955,6,2.02E+13,1,,가덕도대항인공동굴
부산광역시 강서구 대항동,162-1,6,,A02,A0205,A02050600,3015365,12,2.02E+13,197443.6811,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/22/3015322_image3_1.JPG,Type3,128.8310519,35.00178313,6,2.02E+13,1,,가덕도외양포전망대
