addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,dist,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
경상북도 안동시 하회남촌길 69-5,,35,,B02,B0201,B02011600,2465071,32,20161220190700,178150.71417401437,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image3_1.jpg,Type3,128.5175868107,36.5376537450,6,20230413082505,11,054-855-8552,가경재 [한국관광 품질인증/Korea Quality]
서울특별시 송파구 송파대로28길 5,(가락동),1,,B02,B0201,B02010100,142785,32,20040426090000,14409.380170336437,,,,127.1166298703,37.4966565128,6,20241101172817,18,02-400-6641~3,가락관광호텔
전북특별자치도 전주시 완산구 한지길 68,(풍남동3가),37,,B02,B0201,B02011600,2671267,32,20200908224549,194978.35427830732,,,,127.1535667664,35.8173223769,,20241126104237,12,,가락청
경기도 파주시 소라지로327번길 126-21,(송촌동),31,,B02,B0201,B02011600,2627867,32,20191021220426,33215.77717665936,,,,126.6891949040,37.7547493903,,20241126104303,27,,가람나무
경상북도 안동시 풍천면 하회종가길 76-6,(풍천면),35,,B02,B0201,B02011600,1865597,32,20131202181422,177965.52204074405,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2993048_image3_1.jpg,Type1,128.5163479914,36.5390674494,6,20241126104326,11,010-3849-7542,가람초연재
강원특별자치도 인제군 인제읍 대목리길 137,,32,,B02,B0201,B02010700,2571998,32,20181201005923,132992.07822354266,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,Type3,128.3383767680,38.0731872541,,20240701153542,10,033-463-1212,가리벨리 관광펜션(가리벨리관광펜션휴양타운)
강원특별자치도 정선군 정선읍 청량길 32,,32,,B02,B0201,B02010700,582215,32,20080702182139,142766.99403804078,http://tong.visitkorea.or.kr/cms/resource/09/582509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/582509_image3_1.jpg,Type3,128.5773915547,37.4241170266,6,20240613150915,11,010-2289-0021,가리왕산이야기 펜션
경기도 구리시 안골로 70,,31,,B02,B0201,B02010900,1781984,32,20130117230401,14340.571767805868,,,,127.1388777598,37.5972257905,6,20241111175258,6,031-563-0444,가바나모텔
경기도 평택시 평택5로76번길 18-10,,31,,B02,B0201,B02010100,143017,32,20030806090000,64912.89646648275,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image3_1.jpg,Type3,127.1128582139,36.9932008224,6,20241112155405,28,031-658-7700,가보호텔
경상남도 하동군 화개로 13,,36,,B02,B0201,B02010900,2950408,32,20230217152211,270121.94036608964,http://tong.visitkorea.or.kr/cms/resource/67/3009367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/3009367_image3_1.jpg,Type1,127.6231054334,35.1897988120,6,20230912142129,18,010-3889-6663,가비원모텔[한국관광 품질인증/Korea Quality]
경기도 양평군 용문면 용문산로 337,,31,,B02,B0201,B02010700,942523,32,20100202215734,55350.02021353605,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/1893430_image3_1.jpg,Type3,127.6019460659,37.5258897391,6,20241031191412,19,031-771-5180,가시버시펜션
경상북도 성주군 수륜면 가야산식물원길 52,,35,,B02,B0201,B02010100,136485,32,20030612090000,221485.2696332398,,,,128.1426627919,35.8030359683,6,20241023141727,10,054-931-3500,가야호텔
충청북도 청주시 청원구 오창읍 미래지로 71-54,,33,,B02,B0201,B02011600,2707444,32,20210227005520,99885.13810423977,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image3_1.jpg,Type1,127.4055417589,36.7351218825,,20241205101836,10,043-233-9966,가영당 [한국관광 품질인증/Korea Quality]
전북특별자치도 전주시 완산구 한지길 68-13,(풍남동3가),37,,B02,B0201,B02011600,2593271,32,20190325231742,195005.0235747727,http://tong.visitkorea.or.kr/cms/resource/60/2593460_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/60/2593460_image2_1.JPG,Type3,127.1532917977,35.8170640681,,20241126104359,12,010-6345-5267,가은채 [한국관광 품질인증/Korea Quality]
전북특별자치도 전주시 완산구 한지길 100-20,,37,,B02,B0201,B02011600,2593272,32,20190325233553,195171.96395982718,http://tong.visitkorea.or.kr/cms/resource/66/2593466_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/66/2593466_image2_1.JPG,Type3,127.1535195942,35.8155697973,6,20241126104433,12,010-6345-5267,가은채2 [한국관광 품질인증/Korea Quality]
강원특별자치도 평창군 봉평면 흥정계곡길 72,,32,,B02,B0201,B02010700,2376711,32,20160406222558,121993.5539317859,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,Type3,128.3519002081,37.6272975840,6,20240731110301,15,010-5213-3200,가을동화펜션
강원특별자치도 평창군 봉평면 흥정계곡4길 212-27,,32,,B02,B0201,B02010700,2708335,32,20210309011514,118625.32331955955,http://tong.visitkorea.or.kr/cms/resource/06/2707806_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2707806_image3_1.jpg,Type3,128.3109751158,37.6609429108,,20231222094220,15,033-336-3357,가재와곰펜션 [한국관광 품질인증/Korea Quality]
경상남도 남해군 삼동면 죽방로 495,,36,,B02,B0201,B02010700,1351349,32,20110805005937,317750.4579326794,,,,127.9675765215,34.8169300517,6,20240612152137,5,055-867-4892,가족사랑바다체험펜션
경상남도 남해군 남면 홍현리 남면로 679번길 21,,36,0,B02,B0201,B02011000,127778,32,20040129090000,325569.94262837846,http://tong.visitkorea.or.kr/cms/resource/96/2703896_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2703896_image2_1.jpg,Type3,127.8943963083,34.7279803963,6,20241209115551,5,,가천 다랭이마을
경기도 가평군 북면 꽃넘이길 115-82,가둘기정원,,,B02,B0201,B02010700,3102216,32,20240217153116,60143.57360490319,,,,127.5163456797,37.9003946501,6,20240731101125,,0507-1331-2961,가평 가둘기정원 키즈풀빌라 가족 스파 온수수영장 펜션
경기도 가평군 북면 가화로 2369-19,,31,,B02,B0201,B02010900,1979670,32,20141226184946,61264.97531024293,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/1979637_image2_1.JPG,Type3,127.4766116592,37.9524878464,6,20241016160452,1,031-581-2256~7,가평 하이랜드
경기도 가평군 가화로 1364-59,,31,,B02,B0201,B02010700,2814152,32,20220318103837,60073.52857528818,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2811411_image3_1.jpg,Type3,127.5134792182,37.9023138180,6,20241213103826,1,,가평미라몬티풀빌라펜션
경상남도 고성군 고성읍 이당5길 149-21,,36,,B02,B0201,B02010700,2579457,32,20181218194310,309668.5836115334,,,,128.2677822725,34.9758092205,6,20241213155629,3,010-2779-2212,갈모봉 힐링스테이
강원특별자치도 영월군 영월읍 선돌길 83-9,,32,,B02,B0201,B02010700,1122064,32,20101103220629,136235.17765267796,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/1948427_image3_1.jpg,Type3,128.4347977723,37.1788536889,6,20241114165217,8,033-373-1139,강가에 하얀집 펜션
강원특별자치도 홍천군 북방면 굴지강변로 281,,32,,B02,B0201,B02010700,940259,32,20100128000815,72562.9333405026,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/1849368_image3_1.jpg,Type3,127.7832358849,37.6915933201,6,20241104173026,16,033-433-8309,강가의성
강원특별자치도 정선군 북평면 졸드루길 31-57,,32,,B02,B0201,B02010700,2398168,32,20160809225223,147702.62522778328,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2579017_image3_1.jpg,Type3,128.6366687230,37.4518927338,6,20230702185437,11,010-3757-1147,강과 소나무[한국관광 품질인증/Korea Quality]
경상남도 통영시 동충4길 56,,36,,B02,B0201,B02011100,2575011,32,20181207220915,328701.3829416013,,,,128.4241610409,34.8418797816,6,20241210172117,17,010-9287-8001,강구안게스트하우스
서울특별시 강남구 테헤란로13길 65,"(역삼동)1, 2층",1,,B02,B0201,B02011100,2574118,32,20181206010516,8410.28514718762,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2573328_image2_1.jpg,Type3,127.0301236613,37.5034291706,,20191014191736,1,010-2746-7882,강남스테이힐(Gangnam Stay Hill)
서울특별시 서초구 서초대로74길 49,(서초동)강남아르누보씨티호텔,1,,B02,B0201,B02010100,2650614,32,20200328004421,9298.123141713299,http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2650594_image2_1.jpg,Type3,127.0282157821,37.4934858463,,20240611102428,15,02-580-7300/7400,강남아르누보씨티호텔
서울특별시 강남구 봉은사로 143 (논현동),,1,,B02,B0201,B02010100,3079947,32,20240110140842,8120.758225973584,,,,127.0302068992,37.5065288121,6,20240123100914,1,,강남패밀리호텔
전북특별자치도 전주시 완산구 태조로 26-24,(풍남동3가),37,,B02,B0201,B02011600,2570638,32,20181128230659,195223.00864748398,,,,127.1519253061,35.8150087222,,20241205111610,12,,강령전
강원특별자치도 강릉시 해안로621번길 12 (안현동),,32,,B02,B0201,B02010700,2913612,32,20221107190841,172497.83867083333,http://tong.visitkorea.or.kr/cms/resource/01/2920201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2920201_image3_1.jpg,Type3,128.8980175220,37.8118978545,6,20240731092143,1,,강릉 로뎀나무 펜션
강원특별자치도 강릉시 교동광장로100번길 19,,32,,B02,B0201,B02010100,2903046,32,20221109140310,169863.53886780018,http://tong.visitkorea.or.kr/cms/resource/10/2950310_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2950310_image3_1.jpg,Type1,128.8762486624,37.7666443332,6,20230702184031,1,033-645-5511,강릉 부띠끄호텔 봄봄[한국관광 품질인증/Korea Quality]
강원특별자치도 강릉시 칠성로711번길 18-4 (노암동),스테이인옥,32,,B02,B0201,B02011600,3102100,32,20240217124308,172191.59926345127,,,,128.9052882429,37.7495218794,6,20240819172421,1,010-6378-7008,강릉 스테이인옥
강원특별자치도 강릉시 사천면 해안로 904-22,,32,,B02,B0201,B02011000,2626916,32,20191018183952,170939.79812149936,,,,128.8758521976,37.8330588607,,20230702184335,1,010-3348-4912,강릉 지중해펜션
강원특별자치도 강릉시 용지각길 19,(포남동),32,,B02,B0201,B02010900,2398102,32,20160809192447,172382.37566637385,http://tong.visitkorea.or.kr/cms/resource/87/3044687_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/3044687_image3_1.jpg,Type1,128.9056239515,37.7615677151,6,20231207154307,1,010-5919-0050,강릉ing게스트하우스[한국관광 품질인증/Korea Quality]
강원특별자치도 강릉시 경강로2103번길 17,(임당동),32,,B02,B0201,B02011100,2038173,32,20151105191608,171414.52245123105,http://tong.visitkorea.or.kr/cms/resource/07/2684307_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2684307_image3_1.jpg,Type3,128.8954528054,37.7564042254,6,20230702184342,1,010-9299-7199,강릉게스트하우스 중앙점[한국관광 품질인증/Korea Quality]
강원특별자치도 강릉시 운정길 63 선교장,,32,,B02,B0201,B02011600,1989501,32,20150226011900,170905.6535971686,http://tong.visitkorea.or.kr/cms/resource/25/2578925_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2578925_image3_1.jpg,Type3,128.8848528574,37.7855756438,6,20241126104641,1,033-648-5311,강릉선교장[한국관광 품질인증/Korea Quality]
강원특별자치도 강릉시 주문진읍 동해대로 4940,(주문진읍),32,,A03,A0302,A03020200,587289,32,20080716232404,167238.1419284918,http://tong.visitkorea.or.kr/cms/resource/94/598094_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/598094_image3_1.jpg,Type3,128.8123942726,37.9149286939,6,20240612154538,1,033-662-0911,강릉시 청소년 해양수련원
강원특별자치도 강릉시 죽헌길 114,"(죽헌동) 114,116",32,,B02,B0201,B02011600,2531222,32,20180111220743,170314.4156058486,http://tong.visitkorea.or.kr/cms/resource/56/3067856_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3067856_image3_1.jpg,Type1,128.8795480296,37.7775042522,6,20241126104907,1,033-655-1117,강릉오죽한옥마을[한국관광 품질인증/Korea Quality]
강원특별자치도 인제군 인제읍 내린천로 5384,,32,,B02,B0201,B02010700,138547,32,20050706090000,124753.19140583403,http://tong.visitkorea.or.kr/cms/resource/28/1843128_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/1843128_image3_1.jpg,Type3,128.2720847253,38.0100072208,6,20240627100036,10,033-462-0629,강변에서 황토콘도
강원특별자치도 홍천군 북방면 노일로310번길 15,,32,,B02,B0201,B02010700,678537,32,20090113204631,67905.56032508655,http://tong.visitkorea.or.kr/cms/resource/73/680173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/680173_image3_1.jpg,Type3,127.7311991032,37.6861096552,6,20240618160727,16,010-2679-3536,강변의수채화 펜션
강원특별자치도 평창군 봉평면 흥정계곡1길 23,(흥정리),32,,B02,B0201,B02010700,2760767,32,20211021220931,121725.4740297841,http://tong.visitkorea.or.kr/cms/resource/34/2801534_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/34/2801534_image2_1.JPG,Type3,128.3483697556,37.6344716865,6,20240710155558,15,,강애산애펜션
